run_id,model_id,algorithm,tuning_grid,params_selected,training_folds,boyce_mean,boyce_sd,tss_mean,tss_sd,model_path,checksum
"RUN_20260312_103022_b990","RUN_20260312_103022_b990_brt","brt",NA,NA,5,0.654653670707977,NA,0.985714285714286,NA,"04_outputs/runs/RUN_20260312_103022_b990/02_models/model_brt.rds","c96828b073bf3a7b8dc898919648b44d"
"RUN_20260312_103022_b990","RUN_20260312_103022_b990_maxent","maxent",NA,NA,5,0.763762615825973,NA,0.83484962406015,NA,"04_outputs/runs/RUN_20260312_103022_b990/02_models/model_maxent.rds","15bf20fc8844078027ef08a50c64ba88"
"RUN_20260312_141155_b990","RUN_20260312_141155_b990_glm","glm",NA,NA,5,0.810092587300982,NA,0.690412280701754,NA,"04_outputs/runs/RUN_20260312_141155_b990/02_models/model_glm.rds","786c6d5513c82c2f20fe37c06d289b88"
"RUN_20260312_141155_b990","RUN_20260312_141155_b990_rf","rf",NA,NA,5,0.632455532033676,NA,0.985714285714286,NA,"04_outputs/runs/RUN_20260312_141155_b990/02_models/model_rf.rds","a2db423168f27fbf5b3cbe42ae634933"
"RUN_20260312_141155_b990","RUN_20260312_141155_b990_brt","brt",NA,NA,5,0.948683298050514,NA,0.985714285714286,NA,"04_outputs/runs/RUN_20260312_141155_b990/02_models/model_brt.rds","ee72f127e06d01f2918fb638cb5d8e26"
"RUN_20260312_141155_b990","RUN_20260312_141155_b990_maxent","maxent",NA,NA,5,-0.0912870929175277,NA,0.812281954887218,NA,"04_outputs/runs/RUN_20260312_141155_b990/02_models/model_maxent.rds","62329e5ba07f900ff3fab712d9ca336f"
"RUN_20260313_123434_b990","RUN_20260313_123434_b990_glm","glm",NA,NA,5,-1,NA,0.225497897519554,NA,"04_outputs/runs/RUN_20260313_123434_b990/02_models/model_glm.rds","9d50c14a0d1a286d190e109d67ffc91a"
"RUN_20260313_123434_b990","RUN_20260313_123434_b990_rf","rf",NA,NA,5,0.5,NA,0.634781437996034,NA,"04_outputs/runs/RUN_20260313_123434_b990/02_models/model_rf.rds","65674dc0af68c3b753500d2c588165ec"
"RUN_20260313_123434_b990","RUN_20260313_123434_b990_brt","brt",NA,NA,5,1,NA,0.373990532389636,NA,"04_outputs/runs/RUN_20260313_123434_b990/02_models/model_brt.rds","68c1ace02a1ca23cbebc0a8a252f140f"
"RUN_20260313_123434_b990","RUN_20260313_123434_b990_maxent","maxent",NA,NA,5,-0.678571428571428,NA,0.217722880943508,NA,"04_outputs/runs/RUN_20260313_123434_b990/02_models/model_maxent.rds","027a36a57f8181c1dd2ff65b6f635386"
