run_id,timestamp,config_hash,code_version,success,duration_min,output_folder,n_presences,n_background,n_predictors,notes
RUN_20260306_065636_b990,2026-03-06 08:42:39,f77b485cf392545b8caf5f11cd99da15,2.0-ensemble,TRUE,106.045,04_outputs/runs/RUN_20260306_065636_b990,150,3437,25,"success"
RUN_20260306_113856_b990,2026-03-06 14:21:36,f77b485cf392545b8caf5f11cd99da15,2.0-ensemble,TRUE,162.662,04_outputs/runs/RUN_20260306_113856_b990,150,3437,25,"success"
RUN_20260308_141134_b990,2026-03-08 17:46:06,NA,2.0-ensemble,FALSE,214.538,04_outputs/runs/RUN_20260308_141134_b990,150,9473,33,"FATAL: glm Boyce -0.400 < 0.10 minimum (worse than random)"
RUN_20260310_143656_b990,2026-03-10 14:41:13,709cbdfcd04032639e513ecd35378641,2.1-ensemble,FALSE,4.294,04_outputs/runs/RUN_20260310_143656_b990,NA,NA,NA,"cannot transform sfc object with missing crs"
RUN_20260310_144317_b990,2026-03-10 14:45:55,709cbdfcd04032639e513ecd35378641,2.1-ensemble,FALSE,2.632,04_outputs/runs/RUN_20260310_144317_b990,NA,NA,NA,"cannot transform sfc object with missing crs"
RUN_20260310_144711_b990,2026-03-10 14:50:05,709cbdfcd04032639e513ecd35378641,2.1-ensemble,FALSE,2.899,04_outputs/runs/RUN_20260310_144711_b990,NA,NA,NA,"Layer creation failed.
"
RUN_20260311_094344_b990,2026-03-11 12:15:39,709cbdfcd04032639e513ecd35378641,2.1-ensemble,TRUE,151.923,04_outputs/runs/RUN_20260311_094344_b990,150,3439,6,"success"
RUN_20260312_103022_b990,2026-03-12 12:11:13,19b68954eed59fcf3a34c73f9a1e51a5,2.1-ensemble,TRUE,100.851,04_outputs/runs/RUN_20260312_103022_b990,150,3439,6,"success"
RUN_20260313_123434_b990,2026-03-13 12:42:40,af78d974068e3d3a11c05693df0caa28,2.1-ensemble,FALSE,8.095,04_outputs/runs/RUN_20260313_123434_b990,150,6779,11,"FATAL: glm AUC 0.502 < 0.65 minimum (targets.md §5.1)"
RUN_20260313_124521_b990,2026-03-13 15:53:36,NA,2.1-ensemble,TRUE,188.253,04_outputs/runs/RUN_20260313_124521_b990,150,6779,11,"success"
RUN_20260315_124209_b990,2026-03-15 14:42:27,1b749f4899187552f36e01d193d15431,2.1-ensemble,TRUE,120.302,04_outputs/runs/RUN_20260315_124209_b990,121,7838,10,"success"
RUN_20260316_173034_b990,2026-03-16 20:39:38,53399fac3de3b9cf8cebea419d3d8edb,2.1-ensemble,TRUE,189.073,04_outputs/runs/RUN_20260316_173034_b990,252,837,18,"success"
RUN_20260317_110742_b990,2026-03-17 13:47:33,NA,2.1-ensemble,TRUE,159.855,04_outputs/runs/RUN_20260317_110742_b990,252,837,17,"success"
RUN_20260317_111833_b990,2026-03-17 13:55:40,NA,2.1-ensemble,TRUE,157.109,04_outputs/runs/RUN_20260317_111833_b990,252,837,17,"success"
RUN_20260317_160047_b990,2026-03-17 16:18:24,66ecebeccf8207a7c59e19499ba20cf3,2.1-ensemble,FALSE,17.623,04_outputs/runs/RUN_20260317_160047_b990,252,837,17,"object 'preds' not found"
RUN_20260317_191612_b990,2026-03-17 19:37:32,66ecebeccf8207a7c59e19499ba20cf3,2.1-ensemble,FALSE,21.338,04_outputs/runs/RUN_20260317_191612_b990,252,837,17,"'x' must be numeric"
RUN_20260317_200236_b990,2026-03-17 20:24:34,66ecebeccf8207a7c59e19499ba20cf3,2.1-ensemble,TRUE,21.97,04_outputs/runs/RUN_20260317_200236_b990,252,837,17,"success"
RUN_20260317_203608_b990,2026-03-17 21:36:43,NA,2.1-ensemble,FALSE,60.579,04_outputs/runs/RUN_20260317_203608_b990,252,837,17,"Required artifact missing: figure_07_change.png"
RUN_20260320_230653_b990,2026-03-20 23:07:29,85b2ef974565843b9f614cee63c07756,2.1-ensemble,FALSE,0.599,04_outputs/runs/RUN_20260320_230653_b990,NA,NA,NA,"No reference rasters found for template creation"
RUN_20260320_231147_b990,2026-03-21 00:49:04,85b2ef974565843b9f614cee63c07756,2.1-ensemble,TRUE,97.288,04_outputs/runs/RUN_20260320_231147_b990,252,837,17,"success (figure_08_uncertainty.png regenerated post-run via rerun_figures)"
RUN_20260321_142009_b990,2026-03-21 17:31:00,85b2ef974565843b9f614cee63c07756,2.1-ensemble,TRUE,190.837,04_outputs/runs/RUN_20260321_142009_b990,252,837,17,"success"
RUN_20260321_174749_b990,2026-03-21 19:25:21,85b2ef974565843b9f614cee63c07756,2.1-ensemble,FALSE,97.534,04_outputs/runs/RUN_20260321_174749_b990,252,837,17,"Required artifact missing: figure_03_future.png"
RUN_20260323_122925_b990,2026-03-23 15:12:33,NA,2.1-ensemble,FALSE,163.131,04_outputs/runs/RUN_20260323_122925_b990,252,837,17,"Required artifact missing: figure_03_future.png"
RUN_20260325_105629_b990,2026-03-25 14:02:52,af9476db088c9258936b1a2e2b338609,2.1-ensemble,FALSE,186.384,04_outputs/runs/RUN_20260325_105629_b990,252,837,17,"Required artifact missing: figure_03_future.png"
RUN_20260326_104659_b990,2026-03-26 19:26:15,af9476db088c9258936b1a2e2b338609,2.1-ensemble,TRUE,519.268,04_outputs/runs/RUN_20260326_104659_b990,252,837,17,"success"
RUN_20260326_202009_b990,2026-03-26 22:48:11,NA,2.1-ensemble,TRUE,148.04,04_outputs/runs/RUN_20260326_202009_b990,252,837,17,"success"
RUN_20260326_234724_b990,2026-03-26 23:50:17,NA,2.1-ensemble,FALSE,2.88,04_outputs/runs/RUN_20260326_234724_b990,NA,NA,NA,"[project] warp failure"
RUN_20260327_063729_b990,2026-03-27 06:46:45,NA,2.1-ensemble,FALSE,9.248,04_outputs/runs/RUN_20260327_063729_b990,NA,NA,NA,"cannot open the connection"
RUN_20260327_065550_b990,2026-03-27 06:59:05,NA,2.1-ensemble,FALSE,3.236,04_outputs/runs/RUN_20260327_065550_b990,NA,NA,NA,"cannot open the connection"
RUN_20260327_070925_b990,2026-03-27 07:12:47,af9476db088c9258936b1a2e2b338609,2.1-ensemble,FALSE,3.358,04_outputs/runs/RUN_20260327_070925_b990,NA,NA,NA,"[writeRaster] path does not exist"
RUN_20260422_065242_b990,2026-04-22 07:28:32,c31a6443075774edfbf85ce5e015f7ad,2.1-ensemble,TRUE,35.843,E:/Elephas_maximus_SDM_Project_v4/04_outputs,252,837,17,"success"
